Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,6,19,female,Meaning,none,1,1,lassitude,tiredness,0,NA,0
TPL2,6,19,female,Meaning,none,1,2,interstice,space,0,split,6256
TPL2,6,19,female,Meaning,none,1,3,sprauncy,smart,0,cheerful,8369
TPL2,6,19,female,Meaning,none,1,4,encomium,tribute,0,NA,0
TPL2,6,19,female,Meaning,none,1,5,limpid,clear,0,sea,8695
TPL2,6,19,female,Meaning,none,1,6,stentorian,loud,0,histor,9924
TPL2,6,19,female,Meaning,none,1,7,valinch,tube,0,hungry,8481
TPL2,6,19,female,Meaning,none,1,8,gossamer,flimsy,0,fa,9635
TPL2,6,19,female,Meaning,none,1,9,inculcate,instil,0,include,7836
TPL2,6,19,female,Meaning,none,1,10,stanchion,support,0,courage,9355
TPL2,6,19,female,Meaning,none,1,11,descry,discover,0,harm,7940
TPL2,6,19,female,Meaning,none,1,12,subvention,grant,0,below,8489
TPL2,6,19,female,Meaning,none,1,13,burgeon,flourish,0,weapon,7312
TPL2,6,19,female,Meaning,none,1,14,esculent,edible,0,sly,5693
TPL2,6,19,female,Meaning,none,1,15,blandish,flatter,0,boring,5886
TPL2,6,19,female,Recall,Meaning,2,16,subvention,grant,1,grant,6979
TPL2,6,19,female,Recall,Meaning,2,17,sprauncy,smart,1,smart,15612
TPL2,6,19,female,Recall,Meaning,2,18,lassitude,tiredness,0,harness,38855
TPL2,6,19,female,Recall,Meaning,2,19,blandish,flatter,0,flourish,27908
TPL2,6,19,female,Recall,Meaning,2,20,stanchion,support,1,support,22351
TPL2,6,19,female,Recall,Meaning,2,21,encomium,tribute,0,flatter,23012
TPL2,6,19,female,Recall,Meaning,2,22,descry,discover,1,discover,11867
TPL2,6,19,female,Recall,Meaning,2,23,esculent,edible,0,flatter,24364
TPL2,6,19,female,Recall,Meaning,2,24,interstice,space,1,space,4100
TPL2,6,19,female,Recall,Meaning,2,25,stentorian,loud,0,actor,20502
TPL2,6,19,female,Recall,Meaning,2,26,inculcate,instil,0,induce,38896
TPL2,6,19,female,Recall,Meaning,2,27,valinch,tube,0,insist,15799
TPL2,6,19,female,Recall,Meaning,2,28,limpid,clear,1,clear,10088
TPL2,6,19,female,Recall,Meaning,2,29,gossamer,flimsy,0,tool,26000
TPL2,6,19,female,Recall,Meaning,2,30,burgeon,flourish,1,flourish,4666
TPL2,6,19,female,Study,none,1,1,superate,overcome,NA,NA,NA
TPL2,6,19,female,Study,none,1,2,orotund,pompous,NA,NA,NA
TPL2,6,19,female,Study,none,1,3,picaroon,cheat,NA,NA,NA
TPL2,6,19,female,Study,none,1,4,subsecive,spare,NA,NA,NA
TPL2,6,19,female,Study,none,1,5,succursal,branch,NA,NA,NA
TPL2,6,19,female,Study,none,1,6,slake,quench,NA,NA,NA
TPL2,6,19,female,Study,none,1,7,compendious,concise,NA,NA,NA
TPL2,6,19,female,Study,none,1,8,minatory,threatening,NA,NA,NA
TPL2,6,19,female,Study,none,1,9,subduce,withdraw,NA,NA,NA
TPL2,6,19,female,Study,none,1,10,effulgent,shining,NA,NA,NA
TPL2,6,19,female,Study,none,1,11,subluxation,dislocation,NA,NA,NA
TPL2,6,19,female,Study,none,1,12,spoffish,fussy,NA,NA,NA
TPL2,6,19,female,Study,none,1,13,everse,overthrow,NA,NA,NA
TPL2,6,19,female,Study,none,1,14,inchoate,undeveloped,NA,NA,NA
TPL2,6,19,female,Study,none,1,15,frond,leaf,NA,NA,NA
TPL2,6,19,female,Recall,Study,3,31,subsecive,spare,0,reluctant,30968
TPL2,6,19,female,Recall,Study,3,32,compendious,concise,0,helpful,28881
TPL2,6,19,female,Recall,Study,3,33,minatory,threatening,1,threatening,9980
TPL2,6,19,female,Recall,Study,3,34,effulgent,shining,0,honest,21829
TPL2,6,19,female,Recall,Study,3,35,subluxation,dislocation,1,dislocation,43271
TPL2,6,19,female,Recall,Study,3,36,inchoate,undeveloped,0,underdeveloped,13787
TPL2,6,19,female,Recall,Study,3,37,everse,overthrow,1,overthrow,5395
TPL2,6,19,female,Recall,Study,3,38,spoffish,fussy,1,fussy,2342
TPL2,6,19,female,Recall,Study,3,39,superate,overcome,0,independent,31260
TPL2,6,19,female,Recall,Study,3,40,picaroon,cheat,0,branch,61266
TPL2,6,19,female,Recall,Study,3,41,frond,leaf,1,leaf,2586
TPL2,6,19,female,Recall,Study,3,42,succursal,branch,1,branch,4062
TPL2,6,19,female,Recall,Study,3,43,orotund,pompous,0,spiral,17198
TPL2,6,19,female,Recall,Study,3,44,subduce,withdraw,0,secret,23555
TPL2,6,19,female,Recall,Study,3,45,slake,quench,1,quench,6933
