Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,1,18,male,Study,none,1,1,roil,billow,NA,NA,NA
TPL2,1,18,male,Study,none,1,2,succursal,branch,NA,NA,NA
TPL2,1,18,male,Study,none,1,3,recreant,surrendering,NA,NA,NA
TPL2,1,18,male,Study,none,1,4,gossamer,flimsy,NA,NA,NA
TPL2,1,18,male,Study,none,1,5,subvention,grant,NA,NA,NA
TPL2,1,18,male,Study,none,1,6,spoffish,fussy,NA,NA,NA
TPL2,1,18,male,Study,none,1,7,immure,imprison,NA,NA,NA
TPL2,1,18,male,Study,none,1,8,compendious,concise,NA,NA,NA
TPL2,1,18,male,Study,none,1,9,subluxation,dislocation,NA,NA,NA
TPL2,1,18,male,Study,none,1,10,stolid,unemotional,NA,NA,NA
TPL2,1,18,male,Study,none,1,11,effulgent,shining,NA,NA,NA
TPL2,1,18,male,Study,none,1,12,objurgate,rebuke,NA,NA,NA
TPL2,1,18,male,Study,none,1,13,plangent,noisy,NA,NA,NA
TPL2,1,18,male,Study,none,1,14,opprobrium,disgrace,NA,NA,NA
TPL2,1,18,male,Study,none,1,15,minatory,threatening,NA,NA,NA
TPL2,1,18,male,Recall,Study,1,1,opprobrium,disgrace,0,fussy,15495
TPL2,1,18,male,Recall,Study,1,2,gossamer,flimsy,0,surrendering,19463
TPL2,1,18,male,Recall,Study,1,3,subvention,grant,0,surrender,7462
TPL2,1,18,male,Recall,Study,1,4,stolid,unemotional,1,unemotional,6868
TPL2,1,18,male,Recall,Study,1,5,succursal,branch,1,branch,8465
TPL2,1,18,male,Recall,Study,1,6,objurgate,rebuke,0,threatening,13368
TPL2,1,18,male,Recall,Study,1,7,roil,billow,1,billow,4906
TPL2,1,18,male,Recall,Study,1,8,effulgent,shining,0,immersive,14660
TPL2,1,18,male,Recall,Study,1,9,spoffish,fussy,0,branch,12099
TPL2,1,18,male,Recall,Study,1,10,subluxation,dislocation,1,dislocation,7696
TPL2,1,18,male,Recall,Study,1,11,compendious,concise,0,objective,17146
TPL2,1,18,male,Recall,Study,1,12,minatory,threatening,0,worry,7653
TPL2,1,18,male,Recall,Study,1,13,plangent,noisy,0,submersive,50704
TPL2,1,18,male,Recall,Study,1,14,immure,imprison,0,glossy,18842
TPL2,1,18,male,Recall,Study,1,15,recreant,surrendering,0,undermine,20837
TPL2,1,18,male,Meaning,none,1,1,subsecive,spare,0,below,8926
TPL2,1,18,male,Meaning,none,1,2,descry,discover,0,figgity,5758
TPL2,1,18,male,Meaning,none,1,3,inchoate,undeveloped,0,intoxicate,8658
TPL2,1,18,male,Meaning,none,1,4,roke,mist,0,choke,2957
TPL2,1,18,male,Meaning,none,1,5,contumacious,rebellious,0,contagious,6684
TPL2,1,18,male,Meaning,none,1,6,stentorian,loud,0,guardian,5113
TPL2,1,18,male,Meaning,none,1,7,picaroon,cheat,0,collector,8169
TPL2,1,18,male,Meaning,none,1,8,inimical,hostile,0,illiteral,8257
TPL2,1,18,male,Meaning,none,1,9,maunder,ramble,0,stalk,6355
TPL2,1,18,male,Meaning,none,1,10,encomium,tribute,0,ensnare,8236
TPL2,1,18,male,Meaning,none,1,11,burgeon,flourish,0,burden,3788
TPL2,1,18,male,Meaning,none,1,12,peculate,embezzle,0,speculate,5951
TPL2,1,18,male,Meaning,none,1,13,immolate,sacrifice,0,immitate,5015
TPL2,1,18,male,Meaning,none,1,14,blandish,flatter,0,bland,5409
TPL2,1,18,male,Meaning,none,1,15,interstice,space,0,interesting,7923
TPL2,1,18,male,Recall,Meaning,2,16,blandish,flatter,1,flatter,4453
TPL2,1,18,male,Recall,Meaning,2,17,immolate,sacrifice,1,sacrifice,7417
TPL2,1,18,male,Recall,Meaning,2,18,inimical,hostile,0,tribute,5925
TPL2,1,18,male,Recall,Meaning,2,19,inchoate,undeveloped,0,hostile,5653
TPL2,1,18,male,Recall,Meaning,2,20,peculate,embezzle,0,observe,8286
TPL2,1,18,male,Recall,Meaning,2,21,maunder,ramble,0,rebellious,6037
TPL2,1,18,male,Recall,Meaning,2,22,contumacious,rebellious,0,undevelloped,16033
TPL2,1,18,male,Recall,Meaning,2,23,burgeon,flourish,0,discover,9150
TPL2,1,18,male,Recall,Meaning,2,24,stentorian,loud,0,humiliate,23928
TPL2,1,18,male,Recall,Meaning,2,25,descry,discover,0,unfold,6989
TPL2,1,18,male,Recall,Meaning,2,26,encomium,tribute,0,belate,11515
TPL2,1,18,male,Recall,Meaning,2,27,roke,mist,0,lie,21296
TPL2,1,18,male,Recall,Meaning,2,28,picaroon,cheat,0,rebellious,21736
TPL2,1,18,male,Recall,Meaning,2,29,subsecive,spare,0,detailed,22882
TPL2,1,18,male,Recall,Meaning,2,30,interstice,space,0,cultivate,14015
