Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,4,19,female,Meaning,none,1,1,roke,mist,0,start,6061
TPL2,4,19,female,Meaning,none,1,2,subduce,withdraw,0,quieten,5338
TPL2,4,19,female,Meaning,none,1,3,inculcate,instil,0,indukl,9597
TPL2,4,19,female,Meaning,none,1,4,everse,overthrow,0,leave,6100
TPL2,4,19,female,Meaning,none,1,5,burgeon,flourish,0,kill,5375
TPL2,4,19,female,Meaning,none,1,6,peculate,embezzle,0,talk,6968
TPL2,4,19,female,Meaning,none,1,7,encomium,tribute,0,metal,7715
TPL2,4,19,female,Meaning,none,1,8,plangent,noisy,0,organise,7315
TPL2,4,19,female,Meaning,none,1,9,spoffish,fussy,0,snobbery,4121
TPL2,4,19,female,Meaning,none,1,10,immure,imprison,0,leave,6347
TPL2,4,19,female,Meaning,none,1,11,picaroon,cheat,0,cocoon,5998
TPL2,4,19,female,Meaning,none,1,12,subluxation,dislocation,0,relaxation,6460
TPL2,4,19,female,Meaning,none,1,13,stolid,unemotional,0,emotional,7185
TPL2,4,19,female,Meaning,none,1,14,compendious,concise,0,large,6378
TPL2,4,19,female,Meaning,none,1,15,blandish,flatter,0,plain,2443
TPL2,4,19,female,Recall,Meaning,1,1,subluxation,dislocation,1,dislocation,6765
TPL2,4,19,female,Recall,Meaning,1,2,burgeon,flourish,1,flourish,19645
TPL2,4,19,female,Recall,Meaning,1,3,immure,imprison,1,imprison,5558
TPL2,4,19,female,Recall,Meaning,1,4,plangent,noisy,0,tolerate,13250
TPL2,4,19,female,Recall,Meaning,1,5,subduce,withdraw,0,calm,9468
TPL2,4,19,female,Recall,Meaning,1,6,encomium,tribute,0,elegant,13997
TPL2,4,19,female,Recall,Meaning,1,7,peculate,embezzle,0,talk,7807
TPL2,4,19,female,Recall,Meaning,1,8,blandish,flatter,0,boring,17836
TPL2,4,19,female,Recall,Meaning,1,9,everse,overthrow,0,leave,5025
TPL2,4,19,female,Recall,Meaning,1,10,picaroon,cheat,0,picture,7017
TPL2,4,19,female,Recall,Meaning,1,11,inculcate,instil,0,describe,6787
TPL2,4,19,female,Recall,Meaning,1,12,roke,mist,1,mist,3679
TPL2,4,19,female,Recall,Meaning,1,13,compendious,concise,0,large,25522
TPL2,4,19,female,Recall,Meaning,1,14,stolid,unemotional,1,unemotional,8092
TPL2,4,19,female,Recall,Meaning,1,15,spoffish,fussy,0,snob,38888
TPL2,4,19,female,Study,none,1,1,sprauncy,smart,NA,NA,NA
TPL2,4,19,female,Study,none,1,2,subvention,grant,NA,NA,NA
TPL2,4,19,female,Study,none,1,3,frond,leaf,NA,NA,NA
TPL2,4,19,female,Study,none,1,4,interstice,space,NA,NA,NA
TPL2,4,19,female,Study,none,1,5,contumacious,rebellious,NA,NA,NA
TPL2,4,19,female,Study,none,1,6,gossamer,flimsy,NA,NA,NA
TPL2,4,19,female,Study,none,1,7,superate,overcome,NA,NA,NA
TPL2,4,19,female,Study,none,1,8,imprecation,curse,NA,NA,NA
TPL2,4,19,female,Study,none,1,9,esculent,edible,NA,NA,NA
TPL2,4,19,female,Study,none,1,10,orotund,pompous,NA,NA,NA
TPL2,4,19,female,Study,none,1,11,inimical,hostile,NA,NA,NA
TPL2,4,19,female,Study,none,1,12,effulgent,shining,NA,NA,NA
TPL2,4,19,female,Study,none,1,13,stentorian,loud,NA,NA,NA
TPL2,4,19,female,Study,none,1,14,recreant,surrendering,NA,NA,NA
TPL2,4,19,female,Study,none,1,15,stanchion,support,NA,NA,NA
TPL2,4,19,female,Recall,Study,3,31,esculent,edible,0,lavish,8056
TPL2,4,19,female,Recall,Study,3,32,gossamer,flimsy,0,wonder,5427
TPL2,4,19,female,Recall,Study,3,33,imprecation,curse,0,imprint,4781
TPL2,4,19,female,Recall,Study,3,34,subvention,grant,0,partial,6549
TPL2,4,19,female,Recall,Study,3,35,recreant,surrendering,0,imitate,6153
TPL2,4,19,female,Recall,Study,3,36,inimical,hostile,0,intimate,5888
TPL2,4,19,female,Recall,Study,3,37,stanchion,support,0,side,5465
TPL2,4,19,female,Recall,Study,3,38,superate,overcome,0,separate,5824
TPL2,4,19,female,Recall,Study,3,39,sprauncy,smart,0,intelligent,6179
TPL2,4,19,female,Recall,Study,3,40,stentorian,loud,0,old,5782
TPL2,4,19,female,Recall,Study,3,41,effulgent,shining,0,indulge,12262
TPL2,4,19,female,Recall,Study,3,42,interstice,space,0,accurate,4302
TPL2,4,19,female,Recall,Study,3,43,orotund,pompous,0,strange,7539
TPL2,4,19,female,Recall,Study,3,44,frond,leaf,0,fold,9904
TPL2,4,19,female,Recall,Study,3,45,contumacious,rebellious,0,contemporary,3660
