Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,3,20,male,Meaning,none,1,1,spoffish,fussy,0,hungry,8953
TPL2,3,20,male,Meaning,none,1,2,minatory,threatening,0,guarded,7083
TPL2,3,20,male,Meaning,none,1,3,contumacious,rebellious,0,annoying,6488
TPL2,3,20,male,Meaning,none,1,4,everse,overthrow,0,unwanted,6678
TPL2,3,20,male,Meaning,none,1,5,subvention,grant,0,undermining,5932
TPL2,3,20,male,Meaning,none,1,6,spoliate,plunder,0,spoilt,8664
TPL2,3,20,male,Meaning,none,1,7,inimical,hostile,0,immoral,6391
TPL2,3,20,male,Meaning,none,1,8,valinch,tube,0,greedy,7463
TPL2,3,20,male,Meaning,none,1,9,plangent,noisy,0,colourful,6345
TPL2,3,20,male,Meaning,none,1,10,immolate,sacrifice,0,burn,7466
TPL2,3,20,male,Meaning,none,1,11,orotund,pompous,0,sli,9052
TPL2,3,20,male,Meaning,none,1,12,frond,leaf,0,fond,7281
TPL2,3,20,male,Meaning,none,1,13,descry,discover,0,blind,3950
TPL2,3,20,male,Meaning,none,1,14,opprobrium,disgrace,0,garden,5284
TPL2,3,20,male,Meaning,none,1,15,blandish,flatter,0,boring,4197
TPL2,3,20,male,Recall,Meaning,1,1,valinch,tube,0,plunder,26796
TPL2,3,20,male,Recall,Meaning,1,2,spoliate,plunder,1,plunder,10160
TPL2,3,20,male,Recall,Meaning,1,3,opprobrium,disgrace,1,disgrace,10236
TPL2,3,20,male,Recall,Meaning,1,4,minatory,threatening,0,aggressive,5984
TPL2,3,20,male,Recall,Meaning,1,5,immolate,sacrifice,1,sacrifice,3852
TPL2,3,20,male,Recall,Meaning,1,6,subvention,grant,1,grant,4250
TPL2,3,20,male,Recall,Meaning,1,7,spoffish,fussy,1,fussy,6717
TPL2,3,20,male,Recall,Meaning,1,8,contumacious,rebellious,0,flattery,13212
TPL2,3,20,male,Recall,Meaning,1,9,blandish,flatter,0,annoyed,18899
TPL2,3,20,male,Recall,Meaning,1,10,frond,leaf,1,leaf,3908
TPL2,3,20,male,Recall,Meaning,1,11,everse,overthrow,1,overthrow,6082
TPL2,3,20,male,Recall,Meaning,1,12,descry,discover,1,discover,4941
TPL2,3,20,male,Recall,Meaning,1,13,inimical,hostile,1,hostile,8246
TPL2,3,20,male,Recall,Meaning,1,14,orotund,pompous,1,pompous,13537
TPL2,3,20,male,Recall,Meaning,1,15,plangent,noisy,0,interesting,6975
TPL2,3,20,male,Study,none,1,1,roil,billow,NA,NA,NA
TPL2,3,20,male,Study,none,1,2,objurgate,rebuke,NA,NA,NA
TPL2,3,20,male,Study,none,1,3,stolid,unemotional,NA,NA,NA
TPL2,3,20,male,Study,none,1,4,subduce,withdraw,NA,NA,NA
TPL2,3,20,male,Study,none,1,5,stanchion,support,NA,NA,NA
TPL2,3,20,male,Study,none,1,6,slake,quench,NA,NA,NA
TPL2,3,20,male,Study,none,1,7,superate,overcome,NA,NA,NA
TPL2,3,20,male,Study,none,1,8,encomium,tribute,NA,NA,NA
TPL2,3,20,male,Study,none,1,9,peculate,embezzle,NA,NA,NA
TPL2,3,20,male,Study,none,1,10,inchoate,undeveloped,NA,NA,NA
TPL2,3,20,male,Study,none,1,11,subluxation,dislocation,NA,NA,NA
TPL2,3,20,male,Study,none,1,12,immure,imprison,NA,NA,NA
TPL2,3,20,male,Study,none,1,13,stentorian,loud,NA,NA,NA
TPL2,3,20,male,Study,none,1,14,roke,mist,NA,NA,NA
TPL2,3,20,male,Study,none,1,15,compendious,concise,NA,NA,NA
TPL2,3,20,male,Recall,Study,2,16,immure,imprison,1,imprison,5207
TPL2,3,20,male,Recall,Study,2,17,stolid,unemotional,1,unemotional,7498
TPL2,3,20,male,Recall,Study,2,18,superate,overcome,0,help,14687
TPL2,3,20,male,Recall,Study,2,19,encomium,tribute,1,tribute,5628
TPL2,3,20,male,Recall,Study,2,20,stentorian,loud,1,loud,4810
TPL2,3,20,male,Recall,Study,2,21,subduce,withdraw,0,allow,10184
TPL2,3,20,male,Recall,Study,2,22,roke,mist,1,mist,2683
TPL2,3,20,male,Recall,Study,2,23,inchoate,undeveloped,0,fruit,16610
TPL2,3,20,male,Recall,Study,2,24,compendious,concise,1,concise,4227
TPL2,3,20,male,Recall,Study,2,25,objurgate,rebuke,0,free,6295
TPL2,3,20,male,Recall,Study,2,26,subluxation,dislocation,1,dislocation,5920
TPL2,3,20,male,Recall,Study,2,27,roil,billow,1,billow,5447
TPL2,3,20,male,Recall,Study,2,28,stanchion,support,1,support,5775
TPL2,3,20,male,Recall,Study,2,29,peculate,embezzle,0,passionate,12619
TPL2,3,20,male,Recall,Study,2,30,slake,quench,1,quench,5037
