Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,3,43,female,Meaning,none,1,1,stentorian,loud,0,stetoscope,4982
TPL2,3,43,female,Meaning,none,1,2,immolate,sacrifice,0,fast,5506
TPL2,3,43,female,Meaning,none,1,3,minatory,threatening,0,tower,5662
TPL2,3,43,female,Meaning,none,1,4,slake,quench,0,thin,4334
TPL2,3,43,female,Meaning,none,1,5,spoffish,fussy,0,funny,4621
TPL2,3,43,female,Meaning,none,1,6,descry,discover,0,sad,4488
TPL2,3,43,female,Meaning,none,1,7,stolid,unemotional,0,loud,6182
TPL2,3,43,female,Meaning,none,1,8,stanchion,support,0,sword,3878
TPL2,3,43,female,Meaning,none,1,9,succursal,branch,0,repeatedly,9032
TPL2,3,43,female,Meaning,none,1,10,esculent,edible,0,rich,4765
TPL2,3,43,female,Meaning,none,1,11,imprecation,curse,0,hurdle,6669
TPL2,3,43,female,Meaning,none,1,12,burgeon,flourish,0,farmer,6557
TPL2,3,43,female,Meaning,none,1,13,spoliate,plunder,0,grow,6726
TPL2,3,43,female,Meaning,none,1,14,inimical,hostile,0,white,5693
TPL2,3,43,female,Meaning,none,1,15,peculate,embezzle,0,tidy,4976
TPL2,3,43,female,Recall,Meaning,1,1,inimical,hostile,1,hostile,5602
TPL2,3,43,female,Recall,Meaning,1,2,immolate,sacrifice,0,imbezzle,14590
TPL2,3,43,female,Recall,Meaning,1,3,stanchion,support,0,branch,7829
TPL2,3,43,female,Recall,Meaning,1,4,imprecation,curse,1,curse,12401
TPL2,3,43,female,Recall,Meaning,1,5,spoliate,plunder,0,flourish,24491
TPL2,3,43,female,Recall,Meaning,1,6,burgeon,flourish,1,flourish,7684
TPL2,3,43,female,Recall,Meaning,1,7,stentorian,loud,0,hostile,18043
TPL2,3,43,female,Recall,Meaning,1,8,esculent,edible,1,edible,3546
TPL2,3,43,female,Recall,Meaning,1,9,slake,quench,0,tall,9624
TPL2,3,43,female,Recall,Meaning,1,10,spoffish,fussy,1,fussy,5342
TPL2,3,43,female,Recall,Meaning,1,11,peculate,embezzle,0,hostile,20491
TPL2,3,43,female,Recall,Meaning,1,12,stolid,unemotional,0,hard,18178
TPL2,3,43,female,Recall,Meaning,1,13,succursal,branch,0,curse,16246
TPL2,3,43,female,Recall,Meaning,1,14,descry,discover,0,sad,20425
TPL2,3,43,female,Recall,Meaning,1,15,minatory,threatening,0,impecable,21592
TPL2,3,43,female,Study,none,1,1,inculcate,instil,NA,NA,NA
TPL2,3,43,female,Study,none,1,2,gossamer,flimsy,NA,NA,NA
TPL2,3,43,female,Study,none,1,3,opprobrium,disgrace,NA,NA,NA
TPL2,3,43,female,Study,none,1,4,interstice,space,NA,NA,NA
TPL2,3,43,female,Study,none,1,5,valinch,tube,NA,NA,NA
TPL2,3,43,female,Study,none,1,6,subduce,withdraw,NA,NA,NA
TPL2,3,43,female,Study,none,1,7,contumacious,rebellious,NA,NA,NA
TPL2,3,43,female,Study,none,1,8,maunder,ramble,NA,NA,NA
TPL2,3,43,female,Study,none,1,9,recreant,surrendering,NA,NA,NA
TPL2,3,43,female,Study,none,1,10,immure,imprison,NA,NA,NA
TPL2,3,43,female,Study,none,1,11,frond,leaf,NA,NA,NA
TPL2,3,43,female,Study,none,1,12,sprauncy,smart,NA,NA,NA
TPL2,3,43,female,Study,none,1,13,superate,overcome,NA,NA,NA
TPL2,3,43,female,Study,none,1,14,blandish,flatter,NA,NA,NA
TPL2,3,43,female,Study,none,1,15,lassitude,tiredness,NA,NA,NA
TPL2,3,43,female,Recall,Study,2,16,gossamer,flimsy,1,flimsy,9068
TPL2,3,43,female,Recall,Study,2,17,blandish,flatter,1,flatter,9989
TPL2,3,43,female,Recall,Study,2,18,interstice,space,1,space,3572
TPL2,3,43,female,Recall,Study,2,19,lassitude,tiredness,0,tieredness,4593
TPL2,3,43,female,Recall,Study,2,20,inculcate,instil,0,immortal,15060
TPL2,3,43,female,Recall,Study,2,21,recreant,surrendering,0,overcome,25522
TPL2,3,43,female,Recall,Study,2,22,valinch,tube,1,tube,8061
TPL2,3,43,female,Recall,Study,2,23,subduce,withdraw,1,withdraw,6806
TPL2,3,43,female,Recall,Study,2,24,superate,overcome,1,overcome,10667
TPL2,3,43,female,Recall,Study,2,25,sprauncy,smart,0,clever,10229
TPL2,3,43,female,Recall,Study,2,26,immure,imprison,0,prison,48908
TPL2,3,43,female,Recall,Study,2,27,frond,leaf,0,bold,7607
TPL2,3,43,female,Recall,Study,2,28,contumacious,rebellious,0,supersticious,9725
TPL2,3,43,female,Recall,Study,2,29,opprobrium,disgrace,0,necklace,21935
TPL2,3,43,female,Recall,Study,2,30,maunder,ramble,1,ramble,6019
