Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,6,19,female,Meaning,none,1,1,subluxation,dislocation,0,drowning,7894
TPL2,6,19,female,Meaning,none,1,2,effulgent,shining,0,affluent,3785
TPL2,6,19,female,Meaning,none,1,3,objurgate,rebuke,0,obstruct,9670
TPL2,6,19,female,Meaning,none,1,4,picaroon,cheat,0,food,4935
TPL2,6,19,female,Meaning,none,1,5,subduce,withdraw,0,seduce,3338
TPL2,6,19,female,Meaning,none,1,6,limpid,clear,0,livid,6555
TPL2,6,19,female,Meaning,none,1,7,plangent,noisy,0,plant,7824
TPL2,6,19,female,Meaning,none,1,8,spoliate,plunder,0,spoil,4824
TPL2,6,19,female,Meaning,none,1,9,maunder,ramble,0,boy,4608
TPL2,6,19,female,Meaning,none,1,10,frond,leaf,0,pond,3568
TPL2,6,19,female,Meaning,none,1,11,inimical,hostile,0,flammable,4788
TPL2,6,19,female,Meaning,none,1,12,blandish,flatter,0,bland,5213
TPL2,6,19,female,Meaning,none,1,13,orotund,pompous,0,eight,4580
TPL2,6,19,female,Meaning,none,1,14,inculcate,instil,0,strangle,4513
TPL2,6,19,female,Meaning,none,1,15,gossamer,flimsy,0,goose,5507
TPL2,6,19,female,Recall,Meaning,2,16,effulgent,shining,0,generous,7218
TPL2,6,19,female,Recall,Meaning,2,17,orotund,pompous,0,octopus,13199
TPL2,6,19,female,Recall,Meaning,2,18,limpid,clear,1,clear,4956
TPL2,6,19,female,Recall,Meaning,2,19,plangent,noisy,0,boring,6357
TPL2,6,19,female,Recall,Meaning,2,20,gossamer,flimsy,0,desk,7755
TPL2,6,19,female,Recall,Meaning,2,21,objurgate,rebuke,0,barter,8343
TPL2,6,19,female,Recall,Meaning,2,22,blandish,flatter,1,flatter,3579
TPL2,6,19,female,Recall,Meaning,2,23,spoliate,plunder,0,spoil,8434
TPL2,6,19,female,Recall,Meaning,2,24,inculcate,instil,0,fire,2708
TPL2,6,19,female,Recall,Meaning,2,25,subluxation,dislocation,0,frog,3289
TPL2,6,19,female,Recall,Meaning,2,26,frond,leaf,1,leaf,3287
TPL2,6,19,female,Recall,Meaning,2,27,maunder,ramble,0,talk,5793
TPL2,6,19,female,Recall,Meaning,2,28,subduce,withdraw,0,devide,6594
TPL2,6,19,female,Recall,Meaning,2,29,inimical,hostile,0,mimic,7115
TPL2,6,19,female,Recall,Meaning,2,30,picaroon,cheat,1,cheat,5836
TPL2,6,19,female,Study,none,1,1,slake,quench,NA,NA,NA
TPL2,6,19,female,Study,none,1,2,stolid,unemotional,NA,NA,NA
TPL2,6,19,female,Study,none,1,3,descry,discover,NA,NA,NA
TPL2,6,19,female,Study,none,1,4,roke,mist,NA,NA,NA
TPL2,6,19,female,Study,none,1,5,stanchion,support,NA,NA,NA
TPL2,6,19,female,Study,none,1,6,burgeon,flourish,NA,NA,NA
TPL2,6,19,female,Study,none,1,7,subvention,grant,NA,NA,NA
TPL2,6,19,female,Study,none,1,8,lassitude,tiredness,NA,NA,NA
TPL2,6,19,female,Study,none,1,9,esculent,edible,NA,NA,NA
TPL2,6,19,female,Study,none,1,10,subsecive,spare,NA,NA,NA
TPL2,6,19,female,Study,none,1,11,minatory,threatening,NA,NA,NA
TPL2,6,19,female,Study,none,1,12,stentorian,loud,NA,NA,NA
TPL2,6,19,female,Study,none,1,13,immolate,sacrifice,NA,NA,NA
TPL2,6,19,female,Study,none,1,14,opprobrium,disgrace,NA,NA,NA
TPL2,6,19,female,Study,none,1,15,valinch,tube,NA,NA,NA
TPL2,6,19,female,Recall,Study,3,31,burgeon,flourish,0,bargain,12749
TPL2,6,19,female,Recall,Study,3,32,valinch,tube,1,tube,5194
TPL2,6,19,female,Recall,Study,3,33,stolid,unemotional,0,sensible,8120
TPL2,6,19,female,Recall,Study,3,34,roke,mist,0,rope,2238
TPL2,6,19,female,Recall,Study,3,35,stentorian,loud,1,loud,4493
TPL2,6,19,female,Recall,Study,3,36,immolate,sacrifice,1,sacrifice,7421
TPL2,6,19,female,Recall,Study,3,37,esculent,edible,0,roya,3500
TPL2,6,19,female,Recall,Study,3,38,lassitude,tiredness,1,tiredness,4831
TPL2,6,19,female,Recall,Study,3,39,slake,quench,0,snake,3527
TPL2,6,19,female,Recall,Study,3,40,stanchion,support,0,smelly,4400
TPL2,6,19,female,Recall,Study,3,41,subvention,grant,0,vent,3580
TPL2,6,19,female,Recall,Study,3,42,minatory,threatening,1,threatening,4412
TPL2,6,19,female,Recall,Study,3,43,opprobrium,disgrace,0,bottle,6114
TPL2,6,19,female,Recall,Study,3,44,subsecive,spare,0,specific,5612
TPL2,6,19,female,Recall,Study,3,45,descry,discover,0,mole,6214
