Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,1,18,female,Study,none,1,1,subduce,withdraw,NA,NA,NA
TPL2,1,18,female,Study,none,1,2,imprecation,curse,NA,NA,NA
TPL2,1,18,female,Study,none,1,3,interstice,space,NA,NA,NA
TPL2,1,18,female,Study,none,1,4,stanchion,support,NA,NA,NA
TPL2,1,18,female,Study,none,1,5,inimical,hostile,NA,NA,NA
TPL2,1,18,female,Study,none,1,6,spoliate,plunder,NA,NA,NA
TPL2,1,18,female,Study,none,1,7,valinch,tube,NA,NA,NA
TPL2,1,18,female,Study,none,1,8,plangent,noisy,NA,NA,NA
TPL2,1,18,female,Study,none,1,9,esculent,edible,NA,NA,NA
TPL2,1,18,female,Study,none,1,10,slake,quench,NA,NA,NA
TPL2,1,18,female,Study,none,1,11,limpid,clear,NA,NA,NA
TPL2,1,18,female,Study,none,1,12,inchoate,undeveloped,NA,NA,NA
TPL2,1,18,female,Study,none,1,13,peculate,embezzle,NA,NA,NA
TPL2,1,18,female,Study,none,1,14,subvention,grant,NA,NA,NA
TPL2,1,18,female,Study,none,1,15,roke,mist,NA,NA,NA
TPL2,1,18,female,Recall,Study,1,1,subduce,withdraw,1,withdraw,4987
TPL2,1,18,female,Recall,Study,1,2,peculate,embezzle,1,embezzle,12500
TPL2,1,18,female,Recall,Study,1,3,interstice,space,1,space,10143
TPL2,1,18,female,Recall,Study,1,4,roke,mist,1,mist,2179
TPL2,1,18,female,Recall,Study,1,5,subvention,grant,1,grant,4382
TPL2,1,18,female,Recall,Study,1,6,slake,quench,0,help,9435
TPL2,1,18,female,Recall,Study,1,7,limpid,clear,0,timid,11232
TPL2,1,18,female,Recall,Study,1,8,plangent,noisy,0,polite,12181
TPL2,1,18,female,Recall,Study,1,9,inimical,hostile,0,minimal,5237
TPL2,1,18,female,Recall,Study,1,10,spoliate,plunder,0,spoil,4464
TPL2,1,18,female,Recall,Study,1,11,esculent,edible,1,edible,2890
TPL2,1,18,female,Recall,Study,1,12,imprecation,curse,0,support,8377
TPL2,1,18,female,Recall,Study,1,13,valinch,tube,1,tube,2439
TPL2,1,18,female,Recall,Study,1,14,stanchion,support,0,unsure,5934
TPL2,1,18,female,Recall,Study,1,15,inchoate,undeveloped,0,interupt,9319
TPL2,1,18,female,Meaning,none,1,1,stentorian,loud,0,century,6340
TPL2,1,18,female,Meaning,none,1,2,spoffish,fussy,0,spoilt,4334
TPL2,1,18,female,Meaning,none,1,3,gossamer,flimsy,0,gossip,3191
TPL2,1,18,female,Meaning,none,1,4,lassitude,tiredness,0,latitude,4449
TPL2,1,18,female,Meaning,none,1,5,subsecive,spare,0,quiet,4229
TPL2,1,18,female,Meaning,none,1,6,inculcate,instil,0,incomplete,5700
TPL2,1,18,female,Meaning,none,1,7,compendious,concise,0,complex,5795
TPL2,1,18,female,Meaning,none,1,8,sprauncy,smart,0,surprising,5297
TPL2,1,18,female,Meaning,none,1,9,roil,billow,0,roll,3973
TPL2,1,18,female,Meaning,none,1,10,contumacious,rebellious,0,clean,5342
TPL2,1,18,female,Meaning,none,1,11,minatory,threatening,0,small,3069
TPL2,1,18,female,Meaning,none,1,12,maunder,ramble,0,eat,3650
TPL2,1,18,female,Meaning,none,1,13,effulgent,shining,0,elegant,6100
TPL2,1,18,female,Meaning,none,1,14,superate,overcome,0,lonely,4715
TPL2,1,18,female,Meaning,none,1,15,opprobrium,disgrace,0,optimum,8610
TPL2,1,18,female,Recall,Meaning,2,16,roil,billow,0,tin,8086
TPL2,1,18,female,Recall,Meaning,2,17,sprauncy,smart,1,smart,2705
TPL2,1,18,female,Recall,Meaning,2,18,minatory,threatening,1,threatening,7004
TPL2,1,18,female,Recall,Meaning,2,19,lassitude,tiredness,0,loud,13365
TPL2,1,18,female,Recall,Meaning,2,20,maunder,ramble,0,disgrace,4034
TPL2,1,18,female,Recall,Meaning,2,21,gossamer,flimsy,0,landlord,9546
TPL2,1,18,female,Recall,Meaning,2,22,superate,overcome,0,succeed,8493
TPL2,1,18,female,Recall,Meaning,2,23,opprobrium,disgrace,0,concise,13971
TPL2,1,18,female,Recall,Meaning,2,24,effulgent,shining,1,shining,6969
TPL2,1,18,female,Recall,Meaning,2,25,compendious,concise,1,concise,3390
TPL2,1,18,female,Recall,Meaning,2,26,inculcate,instil,0,inlit,5627
TPL2,1,18,female,Recall,Meaning,2,27,spoffish,fussy,0,party,18594
TPL2,1,18,female,Recall,Meaning,2,28,contumacious,rebellious,0,clean,7444
TPL2,1,18,female,Recall,Meaning,2,29,subsecive,spare,0,suspect,8596
TPL2,1,18,female,Recall,Meaning,2,30,stentorian,loud,0,landlord,4334
