Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,1,19,male,Study,none,1,1,spoliate,plunder,NA,NA,NA
TPL2,1,19,male,Study,none,1,2,opprobrium,disgrace,NA,NA,NA
TPL2,1,19,male,Study,none,1,3,interstice,space,NA,NA,NA
TPL2,1,19,male,Study,none,1,4,lassitude,tiredness,NA,NA,NA
TPL2,1,19,male,Study,none,1,5,subvention,grant,NA,NA,NA
TPL2,1,19,male,Study,none,1,6,stanchion,support,NA,NA,NA
TPL2,1,19,male,Study,none,1,7,recreant,surrendering,NA,NA,NA
TPL2,1,19,male,Study,none,1,8,effulgent,shining,NA,NA,NA
TPL2,1,19,male,Study,none,1,9,esculent,edible,NA,NA,NA
TPL2,1,19,male,Study,none,1,10,subsecive,spare,NA,NA,NA
TPL2,1,19,male,Study,none,1,11,spoffish,fussy,NA,NA,NA
TPL2,1,19,male,Study,none,1,12,peculate,embezzle,NA,NA,NA
TPL2,1,19,male,Study,none,1,13,valinch,tube,NA,NA,NA
TPL2,1,19,male,Study,none,1,14,stentorian,loud,NA,NA,NA
TPL2,1,19,male,Study,none,1,15,inchoate,undeveloped,NA,NA,NA
TPL2,1,19,male,Recall,Study,1,1,peculate,embezzle,1,embezzle,6587
TPL2,1,19,male,Recall,Study,1,2,valinch,tube,1,tube,3733
TPL2,1,19,male,Recall,Study,1,3,interstice,space,1,space,3488
TPL2,1,19,male,Recall,Study,1,4,stentorian,loud,0,edible,71523
TPL2,1,19,male,Recall,Study,1,5,esculent,edible,1,edible,6406
TPL2,1,19,male,Recall,Study,1,6,spoliate,plunder,0,disgrace,25806
TPL2,1,19,male,Recall,Study,1,7,opprobrium,disgrace,1,disgrace,15222
TPL2,1,19,male,Recall,Study,1,8,subvention,grant,0,plunder,16333
TPL2,1,19,male,Recall,Study,1,9,subsecive,spare,0,space,84303
TPL2,1,19,male,Recall,Study,1,10,spoffish,fussy,0,food,62393
TPL2,1,19,male,Recall,Study,1,11,lassitude,tiredness,1,tiredness,20378
TPL2,1,19,male,Recall,Study,1,12,effulgent,shining,0,full,14695
TPL2,1,19,male,Recall,Study,1,13,inchoate,undeveloped,0,undeveloping,43878
TPL2,1,19,male,Recall,Study,1,14,stanchion,support,0,surrendering,15322
TPL2,1,19,male,Recall,Study,1,15,recreant,surrendering,1,surrendering,5432
TPL2,1,19,male,Meaning,none,1,1,frond,leaf,0,kind,4152
TPL2,1,19,male,Meaning,none,1,2,maunder,ramble,0,kill,4509
TPL2,1,19,male,Meaning,none,1,3,subduce,withdraw,0,reduce,5234
TPL2,1,19,male,Meaning,none,1,4,contumacious,rebellious,0,d,9586
TPL2,1,19,male,Meaning,none,1,5,gossamer,flimsy,0,gun,2472
TPL2,1,19,male,Meaning,none,1,6,immure,imprison,0,involve,5582
TPL2,1,19,male,Meaning,none,1,7,sprauncy,smart,0,skinny,5852
TPL2,1,19,male,Meaning,none,1,8,imprecation,curse,0,consequence,6146
TPL2,1,19,male,Meaning,none,1,9,immolate,sacrifice,0,copy,3570
TPL2,1,19,male,Meaning,none,1,10,minatory,threatening,0,minimum,4300
TPL2,1,19,male,Meaning,none,1,11,orotund,pompous,0,full,5313
TPL2,1,19,male,Meaning,none,1,12,objurgate,rebuke,0,watch,6459
TPL2,1,19,male,Meaning,none,1,13,burgeon,flourish,0,boat,5002
TPL2,1,19,male,Meaning,none,1,14,plangent,noisy,0,idea,7368
TPL2,1,19,male,Meaning,none,1,15,roke,mist,0,cleaned,5675
TPL2,1,19,male,Recall,Meaning,2,16,objurgate,rebuke,0,threatening,22284
TPL2,1,19,male,Recall,Meaning,2,17,contumacious,rebellious,0,imprison,17221
TPL2,1,19,male,Recall,Meaning,2,18,immolate,sacrifice,0,sacrafice,9028
TPL2,1,19,male,Recall,Meaning,2,19,subduce,withdraw,1,withdraw,14618
TPL2,1,19,male,Recall,Meaning,2,20,frond,leaf,1,leaf,13460
TPL2,1,19,male,Recall,Meaning,2,21,immure,imprison,1,imprison,5167
TPL2,1,19,male,Recall,Meaning,2,22,minatory,threatening,0,flourish,19450
TPL2,1,19,male,Recall,Meaning,2,23,roke,mist,1,mist,13269
TPL2,1,19,male,Recall,Meaning,2,24,plangent,noisy,0,threatening,23661
TPL2,1,19,male,Recall,Meaning,2,25,maunder,ramble,1,ramble,4161
TPL2,1,19,male,Recall,Meaning,2,26,gossamer,flimsy,0,smart,28988
TPL2,1,19,male,Recall,Meaning,2,27,imprecation,curse,0,smart,9553
TPL2,1,19,male,Recall,Meaning,2,28,sprauncy,smart,1,smart,12797
TPL2,1,19,male,Recall,Meaning,2,29,burgeon,flourish,0,curse,16435
TPL2,1,19,male,Recall,Meaning,2,30,orotund,pompous,0,flourish,20393
