Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,5,19,male,Study,none,1,1,inimical,hostile,NA,NA,NA
TPL2,5,19,male,Study,none,1,2,stentorian,loud,NA,NA,NA
TPL2,5,19,male,Study,none,1,3,subluxation,dislocation,NA,NA,NA
TPL2,5,19,male,Study,none,1,4,plangent,noisy,NA,NA,NA
TPL2,5,19,male,Study,none,1,5,spoffish,fussy,NA,NA,NA
TPL2,5,19,male,Study,none,1,6,inculcate,instil,NA,NA,NA
TPL2,5,19,male,Study,none,1,7,objurgate,rebuke,NA,NA,NA
TPL2,5,19,male,Study,none,1,8,encomium,tribute,NA,NA,NA
TPL2,5,19,male,Study,none,1,9,orotund,pompous,NA,NA,NA
TPL2,5,19,male,Study,none,1,10,subduce,withdraw,NA,NA,NA
TPL2,5,19,male,Study,none,1,11,subsecive,spare,NA,NA,NA
TPL2,5,19,male,Study,none,1,12,immure,imprison,NA,NA,NA
TPL2,5,19,male,Study,none,1,13,everse,overthrow,NA,NA,NA
TPL2,5,19,male,Study,none,1,14,frond,leaf,NA,NA,NA
TPL2,5,19,male,Study,none,1,15,succursal,branch,NA,NA,NA
TPL2,5,19,male,Recall,Study,2,16,subduce,withdraw,1,withdraw,4716
TPL2,5,19,male,Recall,Study,2,17,immure,imprison,1,imprison,4524
TPL2,5,19,male,Recall,Study,2,18,inculcate,instil,0,induce,8632
TPL2,5,19,male,Recall,Study,2,19,succursal,branch,1,branch,4838
TPL2,5,19,male,Recall,Study,2,20,subsecive,spare,1,spare,5375
TPL2,5,19,male,Recall,Study,2,21,inimical,hostile,0,small,8533
TPL2,5,19,male,Recall,Study,2,22,encomium,tribute,1,tribute,3709
TPL2,5,19,male,Recall,Study,2,23,orotund,pompous,0,round,4504
TPL2,5,19,male,Recall,Study,2,24,subluxation,dislocation,0,dislocate,22551
TPL2,5,19,male,Recall,Study,2,25,spoffish,fussy,1,fussy,3433
TPL2,5,19,male,Recall,Study,2,26,frond,leaf,1,leaf,3396
TPL2,5,19,male,Recall,Study,2,27,everse,overthrow,1,overthrow,7633
TPL2,5,19,male,Recall,Study,2,28,objurgate,rebuke,0,NA,26397
TPL2,5,19,male,Recall,Study,2,29,plangent,noisy,1,noisy,6470
TPL2,5,19,male,Recall,Study,2,30,stentorian,loud,1,loud,2949
TPL2,5,19,male,Meaning,none,1,1,sprauncy,smart,0,hyper,9585
TPL2,5,19,male,Meaning,none,1,2,stolid,unemotional,0,hard,3294
TPL2,5,19,male,Meaning,none,1,3,gossamer,flimsy,0,mysterious,6101
TPL2,5,19,male,Meaning,none,1,4,imprecation,curse,0,to,9486
TPL2,5,19,male,Meaning,none,1,5,minatory,threatening,0,mina,9891
TPL2,5,19,male,Meaning,none,1,6,interstice,space,0,happening,5877
TPL2,5,19,male,Meaning,none,1,7,maunder,ramble,0,bury,5585
TPL2,5,19,male,Meaning,none,1,8,slake,quench,0,NA,0
TPL2,5,19,male,Meaning,none,1,9,limpid,clear,0,weak,8362
TPL2,5,19,male,Meaning,none,1,10,roke,mist,0,write,7036
TPL2,5,19,male,Meaning,none,1,11,opprobrium,disgrace,0,shout,9094
TPL2,5,19,male,Meaning,none,1,12,stanchion,support,0,bull,7579
TPL2,5,19,male,Meaning,none,1,13,contumacious,rebellious,0,NA,0
TPL2,5,19,male,Meaning,none,1,14,effulgent,shining,0,wealthy,4948
TPL2,5,19,male,Meaning,none,1,15,descry,discover,0,muffle,8661
TPL2,5,19,male,Recall,Meaning,3,31,stanchion,support,0,suppose,17822
TPL2,5,19,male,Recall,Meaning,3,32,minatory,threatening,0,NA,11059
TPL2,5,19,male,Recall,Meaning,3,33,gossamer,flimsy,1,flimsy,3160
TPL2,5,19,male,Recall,Meaning,3,34,descry,discover,1,discover,3239
TPL2,5,19,male,Recall,Meaning,3,35,stolid,unemotional,1,unemotional,3846
TPL2,5,19,male,Recall,Meaning,3,36,interstice,space,0,spacce,3445
TPL2,5,19,male,Recall,Meaning,3,37,roke,mist,0,NA,7569
TPL2,5,19,male,Recall,Meaning,3,38,contumacious,rebellious,1,rebellious,9182
TPL2,5,19,male,Recall,Meaning,3,39,sprauncy,smart,1,smart,4886
TPL2,5,19,male,Recall,Meaning,3,40,effulgent,shining,0,shiny,3633
TPL2,5,19,male,Recall,Meaning,3,41,slake,quench,0,slander,4788
TPL2,5,19,male,Recall,Meaning,3,42,maunder,ramble,1,ramble,5597
TPL2,5,19,male,Recall,Meaning,3,43,limpid,clear,1,clear,10311
TPL2,5,19,male,Recall,Meaning,3,44,opprobrium,disgrace,0,NA,20520
TPL2,5,19,male,Recall,Meaning,3,45,imprecation,curse,0,NA,8273
