Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,4,18,female,Meaning,none,1,1,lassitude,tiredness,0,corset,3255
TPL2,4,18,female,Meaning,none,1,2,everse,overthrow,0,steep,2874
TPL2,4,18,female,Meaning,none,1,3,opprobrium,disgrace,0,alcohol,7882
TPL2,4,18,female,Meaning,none,1,4,imprecation,curse,0,NA,0
TPL2,4,18,female,Meaning,none,1,5,blandish,flatter,0,tasteless,5296
TPL2,4,18,female,Meaning,none,1,6,recreant,surrendering,0,build,5765
TPL2,4,18,female,Meaning,none,1,7,effulgent,shining,0,smelly,6838
TPL2,4,18,female,Meaning,none,1,8,subluxation,dislocation,0,relax,6539
TPL2,4,18,female,Meaning,none,1,9,subsecive,spare,0,irrelevant,7472
TPL2,4,18,female,Meaning,none,1,10,picaroon,cheat,0,throw,6660
TPL2,4,18,female,Meaning,none,1,11,slake,quench,0,move,6709
TPL2,4,18,female,Meaning,none,1,12,objurgate,rebuke,0,shatter,6477
TPL2,4,18,female,Meaning,none,1,13,descry,discover,0,worry,4953
TPL2,4,18,female,Meaning,none,1,14,valinch,tube,0,drink,4963
TPL2,4,18,female,Meaning,none,1,15,roke,mist,0,pull,6155
TPL2,4,18,female,Recall,Meaning,1,1,objurgate,rebuke,0,shatter,41482
TPL2,4,18,female,Recall,Meaning,1,2,effulgent,shining,1,shining,3170
TPL2,4,18,female,Recall,Meaning,1,3,picaroon,cheat,1,cheat,2543
TPL2,4,18,female,Recall,Meaning,1,4,recreant,surrendering,0,tube,19707
TPL2,4,18,female,Recall,Meaning,1,5,blandish,flatter,1,flatter,10315
TPL2,4,18,female,Recall,Meaning,1,6,descry,discover,0,mist,3835
TPL2,4,18,female,Recall,Meaning,1,7,roke,mist,0,tube,2541
TPL2,4,18,female,Recall,Meaning,1,8,valinch,tube,1,tube,2067
TPL2,4,18,female,Recall,Meaning,1,9,opprobrium,disgrace,0,alcohol,17902
TPL2,4,18,female,Recall,Meaning,1,10,everse,overthrow,0,drink,29104
TPL2,4,18,female,Recall,Meaning,1,11,imprecation,curse,0,swear,4779
TPL2,4,18,female,Recall,Meaning,1,12,lassitude,tiredness,0,sleepy,7313
TPL2,4,18,female,Recall,Meaning,1,13,slake,quench,0,rebude,24061
TPL2,4,18,female,Recall,Meaning,1,14,subsecive,spare,0,sneaky,7093
TPL2,4,18,female,Recall,Meaning,1,15,subluxation,dislocation,0,sleep,21318
TPL2,4,18,female,Study,none,1,1,stolid,unemotional,NA,NA,NA
TPL2,4,18,female,Study,none,1,2,sprauncy,smart,NA,NA,NA
TPL2,4,18,female,Study,none,1,3,subduce,withdraw,NA,NA,NA
TPL2,4,18,female,Study,none,1,4,immure,imprison,NA,NA,NA
TPL2,4,18,female,Study,none,1,5,frond,leaf,NA,NA,NA
TPL2,4,18,female,Study,none,1,6,immolate,sacrifice,NA,NA,NA
TPL2,4,18,female,Study,none,1,7,interstice,space,NA,NA,NA
TPL2,4,18,female,Study,none,1,8,subvention,grant,NA,NA,NA
TPL2,4,18,female,Study,none,1,9,peculate,embezzle,NA,NA,NA
TPL2,4,18,female,Study,none,1,10,stanchion,support,NA,NA,NA
TPL2,4,18,female,Study,none,1,11,succursal,branch,NA,NA,NA
TPL2,4,18,female,Study,none,1,12,minatory,threatening,NA,NA,NA
TPL2,4,18,female,Study,none,1,13,superate,overcome,NA,NA,NA
TPL2,4,18,female,Study,none,1,14,spoliate,plunder,NA,NA,NA
TPL2,4,18,female,Study,none,1,15,contumacious,rebellious,NA,NA,NA
TPL2,4,18,female,Recall,Study,3,31,interstice,space,0,team,22174
TPL2,4,18,female,Recall,Study,3,32,superate,overcome,0,fantastic,19455
TPL2,4,18,female,Recall,Study,3,33,peculate,embezzle,1,embezzle,6491
TPL2,4,18,female,Recall,Study,3,34,subduce,withdraw,0,tirede,12096
TPL2,4,18,female,Recall,Study,3,35,subvention,grant,0,intervention,9522
TPL2,4,18,female,Recall,Study,3,36,contumacious,rebellious,0,aggressive,9748
TPL2,4,18,female,Recall,Study,3,37,stanchion,support,0,united,4812
TPL2,4,18,female,Recall,Study,3,38,immolate,sacrifice,0,coffee,13331
TPL2,4,18,female,Recall,Study,3,39,immure,imprison,0,persuade,8943
TPL2,4,18,female,Recall,Study,3,40,frond,leaf,1,leaf,2571
TPL2,4,18,female,Recall,Study,3,41,minatory,threatening,0,aggressive,6711
TPL2,4,18,female,Recall,Study,3,42,stolid,unemotional,0,unemoional,8036
TPL2,4,18,female,Recall,Study,3,43,succursal,branch,0,sacrifice,5926
TPL2,4,18,female,Recall,Study,3,44,spoliate,plunder,0,thinking,4851
TPL2,4,18,female,Recall,Study,3,45,sprauncy,smart,1,smart,3505
