Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,1,19,male,Study,none,1,1,roke,mist,NA,NA,NA
TPL2,1,19,male,Study,none,1,2,orotund,pompous,NA,NA,NA
TPL2,1,19,male,Study,none,1,3,plangent,noisy,NA,NA,NA
TPL2,1,19,male,Study,none,1,4,peculate,embezzle,NA,NA,NA
TPL2,1,19,male,Study,none,1,5,valinch,tube,NA,NA,NA
TPL2,1,19,male,Study,none,1,6,frond,leaf,NA,NA,NA
TPL2,1,19,male,Study,none,1,7,sprauncy,smart,NA,NA,NA
TPL2,1,19,male,Study,none,1,8,everse,overthrow,NA,NA,NA
TPL2,1,19,male,Study,none,1,9,roil,billow,NA,NA,NA
TPL2,1,19,male,Study,none,1,10,blandish,flatter,NA,NA,NA
TPL2,1,19,male,Study,none,1,11,inchoate,undeveloped,NA,NA,NA
TPL2,1,19,male,Study,none,1,12,superate,overcome,NA,NA,NA
TPL2,1,19,male,Study,none,1,13,subduce,withdraw,NA,NA,NA
TPL2,1,19,male,Study,none,1,14,subluxation,dislocation,NA,NA,NA
TPL2,1,19,male,Study,none,1,15,compendious,concise,NA,NA,NA
TPL2,1,19,male,Recall,Study,1,1,blandish,flatter,1,flatter,6816
TPL2,1,19,male,Recall,Study,1,2,roke,mist,1,mist,2255
TPL2,1,19,male,Recall,Study,1,3,roil,billow,0,tube,41039
TPL2,1,19,male,Recall,Study,1,4,sprauncy,smart,0,clever,25330
TPL2,1,19,male,Recall,Study,1,5,plangent,noisy,0,lower,41771
TPL2,1,19,male,Recall,Study,1,6,frond,leaf,1,leaf,7746
TPL2,1,19,male,Recall,Study,1,7,everse,overthrow,0,withdraw,6378
TPL2,1,19,male,Recall,Study,1,8,superate,overcome,0,extend,25253
TPL2,1,19,male,Recall,Study,1,9,inchoate,undeveloped,0,uninterested,64781
TPL2,1,19,male,Recall,Study,1,10,valinch,tube,1,tube,10076
TPL2,1,19,male,Recall,Study,1,11,peculate,embezzle,0,smart,89943
TPL2,1,19,male,Recall,Study,1,12,compendious,concise,0,optimistic,37176
TPL2,1,19,male,Recall,Study,1,13,subluxation,dislocation,1,dislocation,5178
TPL2,1,19,male,Recall,Study,1,14,subduce,withdraw,0,remove,16334
TPL2,1,19,male,Recall,Study,1,15,orotund,pompous,0,bird,39579
TPL2,1,19,male,Meaning,none,1,1,effulgent,shining,0,cumbersome,4691
TPL2,1,19,male,Meaning,none,1,2,lassitude,tiredness,0,height,5960
TPL2,1,19,male,Meaning,none,1,3,limpid,clear,0,seacreature,7379
TPL2,1,19,male,Meaning,none,1,4,maunder,ramble,0,lost,2529
TPL2,1,19,male,Meaning,none,1,5,burgeon,flourish,0,hurt,5784
TPL2,1,19,male,Meaning,none,1,6,objurgate,rebuke,0,intrude,6234
TPL2,1,19,male,Meaning,none,1,7,spoliate,plunder,0,grow,5745
TPL2,1,19,male,Meaning,none,1,8,esculent,edible,0,rise,3491
TPL2,1,19,male,Meaning,none,1,9,gossamer,flimsy,0,tired,4188
TPL2,1,19,male,Meaning,none,1,10,picaroon,cheat,0,food,5149
TPL2,1,19,male,Meaning,none,1,11,recreant,surrendering,0,maker,3676
TPL2,1,19,male,Meaning,none,1,12,encomium,tribute,0,avar,9779
TPL2,1,19,male,Meaning,none,1,13,contumacious,rebellious,0,annoying,6751
TPL2,1,19,male,Meaning,none,1,14,spoffish,fussy,0,posh,2827
TPL2,1,19,male,Meaning,none,1,15,interstice,space,0,cut,6249
TPL2,1,19,male,Recall,Meaning,2,16,objurgate,rebuke,0,cheat,20994
TPL2,1,19,male,Recall,Meaning,2,17,picaroon,cheat,0,cheater,5297
TPL2,1,19,male,Recall,Meaning,2,18,spoliate,plunder,0,split,17603
TPL2,1,19,male,Recall,Meaning,2,19,esculent,edible,0,tasty,20600
TPL2,1,19,male,Recall,Meaning,2,20,contumacious,rebellious,0,rude,31734
TPL2,1,19,male,Recall,Meaning,2,21,encomium,tribute,0,space,16489
TPL2,1,19,male,Recall,Meaning,2,22,recreant,surrendering,0,fun,14151
TPL2,1,19,male,Recall,Meaning,2,23,maunder,ramble,0,wonder,13669
TPL2,1,19,male,Recall,Meaning,2,24,interstice,space,1,space,3235
TPL2,1,19,male,Recall,Meaning,2,25,lassitude,tiredness,0,funny,7460
TPL2,1,19,male,Recall,Meaning,2,26,effulgent,shining,0,light,14357
TPL2,1,19,male,Recall,Meaning,2,27,gossamer,flimsy,0,fussy,5562
TPL2,1,19,male,Recall,Meaning,2,28,burgeon,flourish,0,dark,11813
TPL2,1,19,male,Recall,Meaning,2,29,limpid,clear,0,shy,13043
TPL2,1,19,male,Recall,Meaning,2,30,spoffish,fussy,1,fussy,4450
