Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,2,19,female,Study,none,1,1,inchoate,undeveloped,NA,NA,NA
TPL2,2,19,female,Study,none,1,2,roil,billow,NA,NA,NA
TPL2,2,19,female,Study,none,1,3,contumacious,rebellious,NA,NA,NA
TPL2,2,19,female,Study,none,1,4,opprobrium,disgrace,NA,NA,NA
TPL2,2,19,female,Study,none,1,5,subluxation,dislocation,NA,NA,NA
TPL2,2,19,female,Study,none,1,6,maunder,ramble,NA,NA,NA
TPL2,2,19,female,Study,none,1,7,limpid,clear,NA,NA,NA
TPL2,2,19,female,Study,none,1,8,subsecive,spare,NA,NA,NA
TPL2,2,19,female,Study,none,1,9,inimical,hostile,NA,NA,NA
TPL2,2,19,female,Study,none,1,10,everse,overthrow,NA,NA,NA
TPL2,2,19,female,Study,none,1,11,slake,quench,NA,NA,NA
TPL2,2,19,female,Study,none,1,12,minatory,threatening,NA,NA,NA
TPL2,2,19,female,Study,none,1,13,superate,overcome,NA,NA,NA
TPL2,2,19,female,Study,none,1,14,plangent,noisy,NA,NA,NA
TPL2,2,19,female,Study,none,1,15,subvention,grant,NA,NA,NA
TPL2,2,19,female,Recall,Study,1,1,contumacious,rebellious,1,rebellious,18672
TPL2,2,19,female,Recall,Study,1,2,maunder,ramble,0,idk,22106
TPL2,2,19,female,Recall,Study,1,3,superate,overcome,0,overcame,8347
TPL2,2,19,female,Recall,Study,1,4,subluxation,dislocation,1,dislocation,6873
TPL2,2,19,female,Recall,Study,1,5,subvention,grant,0,NA,10996
TPL2,2,19,female,Recall,Study,1,6,limpid,clear,1,clear,9214
TPL2,2,19,female,Recall,Study,1,7,inchoate,undeveloped,1,undeveloped,6021
TPL2,2,19,female,Recall,Study,1,8,subsecive,spare,0,NA,5163
TPL2,2,19,female,Recall,Study,1,9,plangent,noisy,0,NA,16433
TPL2,2,19,female,Recall,Study,1,10,everse,overthrow,1,overthrow,3976
TPL2,2,19,female,Recall,Study,1,11,roil,billow,0,bi,14058
TPL2,2,19,female,Recall,Study,1,12,inimical,hostile,0,disgrace,16773
TPL2,2,19,female,Recall,Study,1,13,minatory,threatening,1,threatening,4642
TPL2,2,19,female,Recall,Study,1,14,slake,quench,1,quench,4567
TPL2,2,19,female,Recall,Study,1,15,opprobrium,disgrace,0,disappointed,5213
TPL2,2,19,female,Meaning,none,1,1,objurgate,rebuke,0,opagu,9978
TPL2,2,19,female,Meaning,none,1,2,spoliate,plunder,0,spoilt,7263
TPL2,2,19,female,Meaning,none,1,3,inculcate,instil,0,clean,6190
TPL2,2,19,female,Meaning,none,1,4,frond,leaf,0,dissapointed,8131
TPL2,2,19,female,Meaning,none,1,5,gossamer,flimsy,0,gossip,7001
TPL2,2,19,female,Meaning,none,1,6,stentorian,loud,0,dictator,5877
TPL2,2,19,female,Meaning,none,1,7,subduce,withdraw,0,substract,7187
TPL2,2,19,female,Meaning,none,1,8,immure,imprison,0,impure,6276
TPL2,2,19,female,Meaning,none,1,9,picaroon,cheat,0,racoon,6437
TPL2,2,19,female,Meaning,none,1,10,burgeon,flourish,0,burgular,7373
TPL2,2,19,female,Meaning,none,1,11,stolid,unemotional,0,solid,4250
TPL2,2,19,female,Meaning,none,1,12,lassitude,tiredness,0,dog,4143
TPL2,2,19,female,Meaning,none,1,13,valinch,tube,0,eat,9275
TPL2,2,19,female,Meaning,none,1,14,peculate,embezzle,0,speculate,5404
TPL2,2,19,female,Meaning,none,1,15,interstice,space,0,interrelatio,9811
TPL2,2,19,female,Recall,Meaning,3,31,valinch,tube,0,NA,6880
TPL2,2,19,female,Recall,Meaning,3,32,immure,imprison,1,imprison,16121
TPL2,2,19,female,Recall,Meaning,3,33,peculate,embezzle,0,NA,15162
TPL2,2,19,female,Recall,Meaning,3,34,gossamer,flimsy,1,flimsy,5717
TPL2,2,19,female,Recall,Meaning,3,35,interstice,space,1,space,11653
TPL2,2,19,female,Recall,Meaning,3,36,subduce,withdraw,1,withdraw,4419
TPL2,2,19,female,Recall,Meaning,3,37,objurgate,rebuke,0,NA,3869
TPL2,2,19,female,Recall,Meaning,3,38,inculcate,instil,0,NA,11701
TPL2,2,19,female,Recall,Meaning,3,39,burgeon,flourish,0,flourishing,5572
TPL2,2,19,female,Recall,Meaning,3,40,frond,leaf,1,leaf,2544
TPL2,2,19,female,Recall,Meaning,3,41,lassitude,tiredness,0,NA,12122
TPL2,2,19,female,Recall,Meaning,3,42,picaroon,cheat,1,cheat,5573
TPL2,2,19,female,Recall,Meaning,3,43,stolid,unemotional,1,unemotional,10485
TPL2,2,19,female,Recall,Meaning,3,44,spoliate,plunder,0,NA,9477
TPL2,2,19,female,Recall,Meaning,3,45,stentorian,loud,1,loud,8317
