Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,5,19,female,Study,none,1,1,subluxation,dislocation,NA,NA,NA
TPL2,5,19,female,Study,none,1,2,imprecation,curse,NA,NA,NA
TPL2,5,19,female,Study,none,1,3,inimical,hostile,NA,NA,NA
TPL2,5,19,female,Study,none,1,4,compendious,concise,NA,NA,NA
TPL2,5,19,female,Study,none,1,5,immolate,sacrifice,NA,NA,NA
TPL2,5,19,female,Study,none,1,6,subvention,grant,NA,NA,NA
TPL2,5,19,female,Study,none,1,7,slake,quench,NA,NA,NA
TPL2,5,19,female,Study,none,1,8,subduce,withdraw,NA,NA,NA
TPL2,5,19,female,Study,none,1,9,superate,overcome,NA,NA,NA
TPL2,5,19,female,Study,none,1,10,sprauncy,smart,NA,NA,NA
TPL2,5,19,female,Study,none,1,11,frond,leaf,NA,NA,NA
TPL2,5,19,female,Study,none,1,12,descry,discover,NA,NA,NA
TPL2,5,19,female,Study,none,1,13,stentorian,loud,NA,NA,NA
TPL2,5,19,female,Study,none,1,14,objurgate,rebuke,NA,NA,NA
TPL2,5,19,female,Study,none,1,15,stolid,unemotional,NA,NA,NA
TPL2,5,19,female,Recall,Study,2,16,subvention,grant,0,rebuke,25188
TPL2,5,19,female,Recall,Study,2,17,sprauncy,smart,1,smart,6057
TPL2,5,19,female,Recall,Study,2,18,frond,leaf,1,leaf,3101
TPL2,5,19,female,Recall,Study,2,19,subduce,withdraw,1,withdraw,4487
TPL2,5,19,female,Recall,Study,2,20,slake,quench,0,notsure,4574
TPL2,5,19,female,Recall,Study,2,21,objurgate,rebuke,0,rekuke,6548
TPL2,5,19,female,Recall,Study,2,22,inimical,hostile,0,notsure,32137
TPL2,5,19,female,Recall,Study,2,23,stentorian,loud,0,notsure,13472
TPL2,5,19,female,Recall,Study,2,24,immolate,sacrifice,0,withdraw,6926
TPL2,5,19,female,Recall,Study,2,25,imprecation,curse,0,notsure,14413
TPL2,5,19,female,Recall,Study,2,26,stolid,unemotional,1,unemotional,16716
TPL2,5,19,female,Recall,Study,2,27,compendious,concise,0,notsure,8950
TPL2,5,19,female,Recall,Study,2,28,descry,discover,1,discover,4483
TPL2,5,19,female,Recall,Study,2,29,superate,overcome,0,withdraw,8600
TPL2,5,19,female,Recall,Study,2,30,subluxation,dislocation,0,notsure,15382
TPL2,5,19,female,Meaning,none,1,1,everse,overthrow,0,reverse,2774
TPL2,5,19,female,Meaning,none,1,2,opprobrium,disgrace,0,open,4409
TPL2,5,19,female,Meaning,none,1,3,effulgent,shining,0,elegent,4726
TPL2,5,19,female,Meaning,none,1,4,interstice,space,0,intelligen,9787
TPL2,5,19,female,Meaning,none,1,5,inchoate,undeveloped,0,chaos,5844
TPL2,5,19,female,Meaning,none,1,6,encomium,tribute,0,encompass,5679
TPL2,5,19,female,Meaning,none,1,7,contumacious,rebellious,0,fly,9676
TPL2,5,19,female,Meaning,none,1,8,roil,billow,0,roll,4888
TPL2,5,19,female,Meaning,none,1,9,esculent,edible,0,extravagant,7722
TPL2,5,19,female,Meaning,none,1,10,succursal,branch,0,rehearsal,8733
TPL2,5,19,female,Meaning,none,1,11,spoliate,plunder,0,spoil,7682
TPL2,5,19,female,Meaning,none,1,12,gossamer,flimsy,0,gentry,9181
TPL2,5,19,female,Meaning,none,1,13,plangent,noisy,0,mundancve,9910
TPL2,5,19,female,Meaning,none,1,14,recreant,surrendering,0,NA,7219
TPL2,5,19,female,Meaning,none,1,15,spoffish,fussy,0,spoilt,9664
TPL2,5,19,female,Recall,Meaning,3,31,roil,billow,0,notsure,12577
TPL2,5,19,female,Recall,Meaning,3,32,opprobrium,disgrace,0,notsure,16965
TPL2,5,19,female,Recall,Meaning,3,33,recreant,surrendering,0,rebllious,10288
TPL2,5,19,female,Recall,Meaning,3,34,interstice,space,0,intersect,6627
TPL2,5,19,female,Recall,Meaning,3,35,contumacious,rebellious,1,rebellious,4823
TPL2,5,19,female,Recall,Meaning,3,36,inchoate,undeveloped,0,fussy,16977
TPL2,5,19,female,Recall,Meaning,3,37,spoffish,fussy,1,fussy,3168
TPL2,5,19,female,Recall,Meaning,3,38,encomium,tribute,0,notsure,26531
TPL2,5,19,female,Recall,Meaning,3,39,esculent,edible,0,extravagent,20549
TPL2,5,19,female,Recall,Meaning,3,40,gossamer,flimsy,0,endsiny,15476
TPL2,5,19,female,Recall,Meaning,3,41,effulgent,shining,0,elegent,5695
TPL2,5,19,female,Recall,Meaning,3,42,spoliate,plunder,0,fussy,7916
TPL2,5,19,female,Recall,Meaning,3,43,everse,overthrow,0,uptight,9368
TPL2,5,19,female,Recall,Meaning,3,44,plangent,noisy,0,notsure,10792
TPL2,5,19,female,Recall,Meaning,3,45,succursal,branch,0,curse,3828
