Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,5,19,male,Study,none,1,1,subduce,withdraw,NA,NA,NA
TPL2,5,19,male,Study,none,1,2,lassitude,tiredness,NA,NA,NA
TPL2,5,19,male,Study,none,1,3,everse,overthrow,NA,NA,NA
TPL2,5,19,male,Study,none,1,4,immolate,sacrifice,NA,NA,NA
TPL2,5,19,male,Study,none,1,5,frond,leaf,NA,NA,NA
TPL2,5,19,male,Study,none,1,6,stentorian,loud,NA,NA,NA
TPL2,5,19,male,Study,none,1,7,peculate,embezzle,NA,NA,NA
TPL2,5,19,male,Study,none,1,8,interstice,space,NA,NA,NA
TPL2,5,19,male,Study,none,1,9,inchoate,undeveloped,NA,NA,NA
TPL2,5,19,male,Study,none,1,10,recreant,surrendering,NA,NA,NA
TPL2,5,19,male,Study,none,1,11,plangent,noisy,NA,NA,NA
TPL2,5,19,male,Study,none,1,12,inimical,hostile,NA,NA,NA
TPL2,5,19,male,Study,none,1,13,esculent,edible,NA,NA,NA
TPL2,5,19,male,Study,none,1,14,valinch,tube,NA,NA,NA
TPL2,5,19,male,Study,none,1,15,stanchion,support,NA,NA,NA
TPL2,5,19,male,Recall,Study,2,16,plangent,noisy,0,undeveloped,16054
TPL2,5,19,male,Recall,Study,2,17,inchoate,undeveloped,0,sacrifice,13091
TPL2,5,19,male,Recall,Study,2,18,immolate,sacrifice,0,surrender,11459
TPL2,5,19,male,Recall,Study,2,19,stanchion,support,1,support,4945
TPL2,5,19,male,Recall,Study,2,20,lassitude,tiredness,0,withdraw,9741
TPL2,5,19,male,Recall,Study,2,21,peculate,embezzle,0,space,10169
TPL2,5,19,male,Recall,Study,2,22,inimical,hostile,0,leaf,7301
TPL2,5,19,male,Recall,Study,2,23,stentorian,loud,0,powerful,13766
TPL2,5,19,male,Recall,Study,2,24,interstice,space,0,food,42979
TPL2,5,19,male,Recall,Study,2,25,subduce,withdraw,0,tired,6718
TPL2,5,19,male,Recall,Study,2,26,valinch,tube,0,withdraw,24911
TPL2,5,19,male,Recall,Study,2,27,recreant,surrendering,0,flourish,12004
TPL2,5,19,male,Recall,Study,2,28,esculent,edible,0,high,7975
TPL2,5,19,male,Recall,Study,2,29,frond,leaf,1,leaf,3208
TPL2,5,19,male,Recall,Study,2,30,everse,overthrow,0,discover,6758
TPL2,5,19,male,Meaning,none,1,1,spoliate,plunder,0,clean,8290
TPL2,5,19,male,Meaning,none,1,2,minatory,threatening,0,small,3721
TPL2,5,19,male,Meaning,none,1,3,compendious,concise,0,superb,8184
TPL2,5,19,male,Meaning,none,1,4,maunder,ramble,0,word,4207
TPL2,5,19,male,Meaning,none,1,5,blandish,flatter,0,lonely,6376
TPL2,5,19,male,Meaning,none,1,6,gossamer,flimsy,0,gossip,8716
TPL2,5,19,male,Meaning,none,1,7,subvention,grant,0,NA,0
TPL2,5,19,male,Meaning,none,1,8,encomium,tribute,0,enconomy,8125
TPL2,5,19,male,Meaning,none,1,9,sprauncy,smart,0,fast,8414
TPL2,5,19,male,Meaning,none,1,10,subluxation,dislocation,0,relax,3780
TPL2,5,19,male,Meaning,none,1,11,roke,mist,0,pull,5899
TPL2,5,19,male,Meaning,none,1,12,immure,imprison,0,big,4642
TPL2,5,19,male,Meaning,none,1,13,effulgent,shining,0,posh,4932
TPL2,5,19,male,Meaning,none,1,14,stolid,unemotional,0,solid,4552
TPL2,5,19,male,Meaning,none,1,15,imprecation,curse,0,tight,8484
TPL2,5,19,male,Recall,Meaning,3,31,effulgent,shining,0,smart,4950
TPL2,5,19,male,Recall,Meaning,3,32,subvention,grant,0,space,7711
TPL2,5,19,male,Recall,Meaning,3,33,spoliate,plunder,0,curse,4148
TPL2,5,19,male,Recall,Meaning,3,34,maunder,ramble,0,walk,7084
TPL2,5,19,male,Recall,Meaning,3,35,immure,imprison,0,improve,30750
TPL2,5,19,male,Recall,Meaning,3,36,blandish,flatter,0,posh,4400
TPL2,5,19,male,Recall,Meaning,3,37,minatory,threatening,0,small,6584
TPL2,5,19,male,Recall,Meaning,3,38,compendious,concise,0,clever,16425
TPL2,5,19,male,Recall,Meaning,3,39,gossamer,flimsy,0,talker,8927
TPL2,5,19,male,Recall,Meaning,3,40,stolid,unemotional,0,wrong,16165
TPL2,5,19,male,Recall,Meaning,3,41,imprecation,curse,1,curse,3381
TPL2,5,19,male,Recall,Meaning,3,42,sprauncy,smart,0,boistrous,12018
TPL2,5,19,male,Recall,Meaning,3,43,subluxation,dislocation,0,hard,9484
TPL2,5,19,male,Recall,Meaning,3,44,roke,mist,0,leaf,19104
TPL2,5,19,male,Recall,Meaning,3,45,encomium,tribute,0,curse,5252
