"Subject","Experiment","Group","Age","Gender","Running","Condition","Cycle","Sample","Cue","Target","Acc","Resp","RT"
1,"TPL2","1","19","male","PracticeFirstWord",NA,"1","3","infandous","horrible","0","scary","4310"
1,"TPL2","1","19","male","First Word",NA,"1","1","descry","discover","0","scary","3509"
1,"TPL2","1","19","male","First Word",NA,"1","2","slake","quench","0","snake","2065"
1,"TPL2","1","19","male","First Word",NA,"1","3","succursal","branch","0","curse","2390"
1,"TPL2","1","19","male","First Word",NA,"1","4","minatory","threatening","0","small","5552"
1,"TPL2","1","19","male","First Word",NA,"1","5","subsecive","spare","0","cant","7629"
1,"TPL2","1","19","male","First Word",NA,"1","6","inimical","hostile","0","small","7212"
1,"TPL2","1","19","male","First Word",NA,"1","7","subvention","grant","0","ventila","9876"
1,"TPL2","1","19","male","First Word",NA,"1","8","imprecation","curse","0","threat","6260"
1,"TPL2","1","19","male","First Word",NA,"1","9","stentorian","loud","0","politician","4089"
1,"TPL2","1","19","male","First Word",NA,"1","10","stolid","unemotional","0","solid","3651"
1,"TPL2","1","19","male","First Word",NA,"1","11","inculcate","instil","0","clean","3442"
1,"TPL2","1","19","male","First Word",NA,"1","12","immolate","sacrifice","0","stuck","6047"
1,"TPL2","1","19","male","First Word",NA,"1","13","immure","imprison","0","young","4772"
1,"TPL2","1","19","male","First Word",NA,"1","14","stanchion","support","0","horse","2961"
1,"TPL2","1","19","male","First Word",NA,"1","15","opprobrium","disgrace","0","problem","6616"
1,"TPL2","1","19","male","Recall","First Word","3","31","imprecation","curse","0","accuse","12196"
1,"TPL2","1","19","male","Recall","First Word","3","32","descry","discover","0","dirty","13301"
1,"TPL2","1","19","male","Recall","First Word","3","33","succursal","branch","0","threat","7776"
1,"TPL2","1","19","male","Recall","First Word","3","34","subvention","grant","0","block","10186"
1,"TPL2","1","19","male","Recall","First Word","3","35","opprobrium","disgrace","0","curse","6313"
1,"TPL2","1","19","male","Recall","First Word","3","36","immure","imprison","1","imprison","10234"
1,"TPL2","1","19","male","Recall","First Word","3","37","stanchion","support","0","horse","8496"
1,"TPL2","1","19","male","Recall","First Word","3","38","minatory","threatening","0","loud","10917"
1,"TPL2","1","19","male","Recall","First Word","3","39","stolid","unemotional","1","unemotional","7809"
1,"TPL2","1","19","male","Recall","First Word","3","40","stentorian","loud","1","loud","3343"
1,"TPL2","1","19","male","Recall","First Word","3","41","subsecive","spare","0","desire","39239"
1,"TPL2","1","19","male","Recall","First Word","3","42","inculcate","instil","0","lock","36642"
1,"TPL2","1","19","male","Recall","First Word","3","43","slake","quench","0","snake","5709"
1,"TPL2","1","19","male","Recall","First Word","3","44","immolate","sacrifice","0","break","12812"
1,"TPL2","1","19","male","Recall","First Word","3","45","inimical","hostile","0","discover","17362"
10,"TPL2","4","19","female","PracticeMeaning",NA,"1","1","gadoid","fish","0","cuboid","5642"
10,"TPL2","4","19","female","PracticeMeaning",NA,"1","2","achene","fruit","0","achne","5573"
10,"TPL2","4","19","female","PracticeMeaning",NA,"1","3","droze","drip","0","sleepy","5005"
10,"TPL2","4","19","female","PracticeRecall","meaning","1","1","achene","fruit","1","fruit","4826"
10,"TPL2","4","19","female","PracticeRecall","meaning","1","2","droze","drip","1","drip","4358"
10,"TPL2","4","19","female","PracticeRecall","meaning","1","3","gadoid","fish","1","fish","3669"
10,"TPL2","4","19","female","Meaning",NA,"1","1","stolid","unemotional","0","soil","3428"
10,"TPL2","4","19","female","Meaning",NA,"1","2","limpid","clear","0","limp","4611"
10,"TPL2","4","19","female","Meaning",NA,"1","3","maunder","ramble","0","wonder","5195"
10,"TPL2","4","19","female","Meaning",NA,"1","4","roil","billow","0","role","7665"
10,"TPL2","4","19","female","Meaning",NA,"1","5","inimical","hostile","0","imagin","9515"
10,"TPL2","4","19","female","Meaning",NA,"1","6","lassitude","tiredness","0","location","5907"
10,"TPL2","4","19","female","Meaning",NA,"1","7","esculent","edible","0","ji","9800"
10,"TPL2","4","19","female","Meaning",NA,"1","8","immolate","sacrifice","0","immitate","5511"
10,"TPL2","4","19","female","Meaning",NA,"1","9","contumacious","rebellious","0","indecisive","7640"
10,"TPL2","4","19","female","Meaning",NA,"1","10","plangent","noisy","0","bad","5501"
10,"TPL2","4","19","female","Meaning",NA,"1","11","superate","overcome","0","","0"
10,"TPL2","4","19","female","Meaning",NA,"1","12","stentorian","loud","0","impatient","9964"
10,"TPL2","4","19","female","Meaning",NA,"1","13","recreant","surrendering","0","fun","4884"
10,"TPL2","4","19","female","Meaning",NA,"1","14","roke","mist","0","wild","6465"
10,"TPL2","4","19","female","Meaning",NA,"1","15","immure","imprison","0","lure","3880"
10,"TPL2","4","19","female","Recall","Meaning","1","1","limpid","clear","0","noisy","12720"
10,"TPL2","4","19","female","Recall","Meaning","1","2","plangent","noisy","0","loud","4743"
10,"TPL2","4","19","female","Recall","Meaning","1","3","roke","mist","1","mist","45753"
